AccountNumber;CardNo;TransactionNo;TransactionAmount
2207893042439111;304963260635704;110492612;$5,820.62 
2597823638581321;765857965300800;110510752;$2,897.73 
8491264240259200;696303273483157;110944215;$6,658.71 
3777104380463822;966261763850642;11106010;$9,326.39 
8656534072295980;857136888652850;111261083;$3,822.39 
7139161324388006;358371715596086;111292380;$2,519.01 
7316538666304326;484912711935739;111399059;$7,160.57 
1756962099619888;688918392904732;11142658;$803.32 
4546229983116036;547694813356296;111477061;$2,532.47 
3845158640724645;452893531604051;111500394;$8,095.58 
7804692366013395;275611644983932;11156711;$7,328.54 
2544447932629687;968275488029443;112054889;$1,556.25 
6130980122299631;976182624343006;112117557;$9,487.63 
1906395591595984;657572501234607;112293510;$5,540.50 
6429764504518218;131868231786093;112381605;$4,099.99 
4078910726172750;593155314927813;112470229;$7,643.34 
3195460554551527;133789753789558;112498486;$7,324.00 
6654076468719708;142608395030836;112634005;$8,622.41 
8521466789035073;380638802561469;112652231;$2,021.33 
6052942596675633;361610028523768;112837923;$9,858.60 
6654076468719708;142608395030836;113103450;$2,417.11 
2631749158844567;646695441682544;113120204;$9,925.27 
4179938116476893;661451068025118;11321109;$5,470.74 
2288082230772184;936195067737131;113452184;$5,739.16 
2835911540044454;307175118633361;113635503;$7,047.30 
4076145806443696;302745607427520;114592461;$7,874.99 
8703627818206197;648999125299451;114630025;$6,716.17 
3777104380463822;966261763850642;115111131;$7,414.24 
6614211053762016;893050429018053;115142998;$5,358.85 
7692601683671293;419344564564930;115822601;$5,199.21 
7700924570458644;922475094081756;11591835;$4,893.26 
1674320468687466;142296918126620;115977892;$149.72 
8409768547502519;831774295515639;116039203;$2,164.86 
2919781061774519;405534773157173;116846822;$3,710.96 
9366402304370816;197417680233319;116886043;$9,768.49 
5010054454975494;305754518988026;116890133;$1,857.74 
6089049727020809;968043825805963;117280004;$8,330.72 
6652880000568446;269224206201475;117320869;$1,588.67 
7664276900288066;780312316086112;117441557;$834.14 
6042552045463664;429776801411954;118163429;$8,028.28 
9138852171173874;631309769130923;118186349;$4,031.38 
7848934377092960;366148295941060;118398352;$7,835.28 
9101590339767533;225173150999020;118536862;$1,319.45 
3244588771316232;435753176050616;119123246;$2,697.42 
2080765844726360;903033786773579;119133940;$5,529.96 
6798218719475816;250195251688729;119151048;$6,619.58 
7342697037585308;562804653806494;119229530;$6,841.52 
3582668135433087;100623006509302;119654999;$2,812.26 
3801048139129210;781831251418549;119907296;$1,709.04 
8861844585488589;107990115579681;120092437;$4,525.15 
8308796911778219;549028257450539;120139779;$4,275.73 
4430749775384129;590422344471813;120181084;$2,830.65 
8529837464675478;546534167208395;120202771;$6,738.87 
5145740801853560;906561196403562;120538246;$5,180.49 
8678909692558625;533130573525256;120737431;$314.83 
6069857881410820;171968915512885;120771996;$8,550.92 
5228322220309225;642002659464057;120859169;$5,458.62 
6130980122299631;219323654205181;120897830;$738.79 
9593687031991166;911264945289378;120898152;$1,822.17 
2838780908309800;882631297640714;121026146;$7,674.50 
3632400175169409;481627670581606;12171771;$1,158.91 
5712239123334089;612187715467321;121749877;$4,676.03 
2835911540044454;307175118633361;121977895;$2,761.43 
2946458711157653;237189891122807;12201915;$3,704.92 
1123555144597731;380932797368775;122092893;$1,210.19 
3685852499849171;641011976574984;122122031;$5,237.99 
2464707973740024;385335538626297;122141164;$8,229.16 
1447415278551690;193680614753460;122185123;$4,783.60 
9308508435534137;374381885378610;12221448;$3,927.54 
6175473331408223;620644279818588;122341772;$8,505.23 
1668795860474753;817416997589125;122497936;$8,019.91 
4348744077899511;929554414714974;122571588;$4,631.84 
4381816564060449;236880009297945;122657208;$6,549.23 
1003035500279518;164251985807087;122788430;$195.47 
2118762767080145;338912160838733;122791508;$3,935.73 
4078910726172750;593155314927813;123165704;$2,336.33 
1194018520203733;912254310048124;123199151;$60.85 
6887786969625811;132197207186356;124181191;$3,987.42 
6316344929573597;115915544005364;124311386;$6,152.70 
1306594908382922;680696527215951;124396713;$5,560.19 
1447415278551690;484499315487418;124546287;$5,671.17 
3952052346171830;960172485702910;124673407;$8,988.46 
8297481548231345;541283788878705;124764775;$9,615.40 
1664149502099020;124455549102527;125132474;$8,206.33 
3492184590829438;903037067045671;12532050;$8,306.98 
5341802348748489;807236992150142;125357487;$559.07 
1647996022684737;614375201473654;125423758;$9,143.09 
1628990553557639;168724300761532;12552838;$8,510.20 
3256020970892883;479749750183002;125622757;$3,238.88 
6894650511725001;929070195484922;12570303;$7,475.87 
4364926259707682;494763348709520;125786322;$6,401.75 
8524055590689355;176400538122669;125793628;$5,988.83 
3890673393288527;299082667703004;126190524;$4,901.22 
2533833879448624;868586047436602;126234547;$4,066.58 
7599585676459465;434395706250573;126434840;$9,774.53 
6407229365713619;792016530139498;126474083;$4,559.04 
8298151124135074;377610127285163;126559074;$7,462.17 
8364121747716062;335087335231731;126657475;$8,327.78 
6052942596675633;361610028523768;126971793;$4,968.58 
5287608192111286;713648310567398;127048606;$4,962.31 
9146165889109472;372267106796376;127129794;$9,099.12 
6632443426223115;445597974826679;127171758;$1,477.87 
1946982356836737;555854868986636;127269738;$7,013.68 
6965695949005991;506621183121198;12768247;$6,032.54 
1076323647396433;273503547967987;128079631;$1,447.05 
1836557347004968;219460182805219;128149209;$3,840.58 
7848934377092960;366148295941060;12825307;$4,139.99 
6309985822581100;565892570268055;128560084;$9,478.00 
2823611408737694;763021302452594;128583654;$1,412.83 
4735301340605265;212488619744545;128585106;$1,851.03 
8727663740330542;872433783771150;128593576;$7,217.40 
6130980122299631;219323654205181;128648144;$6,215.82 
8794770655356905;851451753338284;128650116;$7,464.83 
2466025944609881;346408941949843;128828873;$6,402.51 
6300394454445362;254695834075825;129021314;$3,132.66 
2615715363366688;658405400687478;129023367;$5,032.24 
3838641455470320;905211497196938;129023978;$1,286.76 
8727663740330542;183673508265395;129361467;$4,235.45 
6175473331408223;631627587024243;129386699;$358.36 
7664276900288066;780312316086112;129426174;$8,150.85 
8861745121013692;760350176604718;129642337;$8,775.72 
7620294767071650;266822933692352;129786591;$1,494.28 
6309985822581100;565892570268055;130016279;$3,441.64 
9029740083055648;293685964782112;130101337;$6,025.23 
6170844832863444;252105572892211;130150770;$462.09 
2684668570694556;837109970057357;13024708;$8,544.41 
7620294767071650;770584419428644;130279128;$9,248.60 
2288644236174010;263742358819576;130482840;$223.36 
2533833879448624;868586047436602;130565109;$5,654.91 
1883075486719223;950394216129400;130880275;$5,209.43 
8141571251236982;479106072014959;130971516;$3,644.88 
8680708877871183;875465642571679;131156156;$5,696.37 
7656075314017834;812060315200469;131229281;$8,851.06 
8017849589846693;488495501989394;131262455;$4,806.20 
8895351690026742;837822396309997;131536421;$3,691.72 
6012495347637823;516966532416644;131656487;$2,849.19 
6052942596675633;361610028523768;131836357;$3,888.26 
7656075314017834;812060315200469;131977955;$9,871.24 
3527890387966121;730427417775798;131982431;$2,944.62 
9153072620985931;519416441451754;132264561;$4,407.22 
9483085331124211;500558672846142;132523287;$9,383.33 
1852430951611719;899953670470417;132540513;$8,992.31 
7885958119247032;402558086028941;132572658;$108.12 
8659218864741024;607362508520951;132645170;$2,320.86 
6615453145124024;225321229848663;132875232;$5,000.21 
7087032353271219;256956895987599;132973351;$8,132.15 
8659218864741024;607362508520951;13298857;$4,672.75 
8308796911778219;814293727241420;133023082;$179.84 
6052942596675633;361610028523768;133050268;$4,528.16 
8116264253155472;719717307106935;133059814;$5,590.96 
3952052346171830;659594657035107;133066016;$9,421.14 
5470175668943169;289202860033743;133077894;$1,319.89 
1874233676761924;131899922095391;133095578;$7,768.14 
2758981553013665;214895632624354;133135235;$5,176.52 
7087032353271219;178044221247726;133182695;$9,178.57 
2919781061774519;801672575683646;133200748;$3,568.09 
8740138902269971;353226279573264;133369484;$6,098.42 
9761135962998707;486437282282029;133529616;$9,994.28 
3860184822898361;664052115283459;133634658;$3,151.53 
2758981553013665;214895632624354;133719152;$6,083.62 
4349112290142813;602560307453338;133819990;$1,026.94 
2478720661472242;847948977460991;133836666;$4,772.53 
8816866361204910;310342806381395;133865510;$3,465.41 
6369116022399575;331298945048824;133914552;$3,665.81 
4433882692287070;578110753303717;134322148;$5,246.75 
1798883807120664;721507213679895;134345622;$4,679.16 
7968981155425122;861978221860007;134418654;$6,766.39 
7342697037585308;473824248079277;134470002;$7,370.84 
9062930474612002;396152197418335;134754466;$6,337.96 
8651977487028261;656998967365426;134849148;$1,662.38 
4392399978621871;522580500025958;13492274;$6,535.57 
2844488206265060;944755264336055;135012721;$837.20 
3890673393288527;335800201264615;135125090;$3,459.58 
9271782917171873;625791358289162;135141550;$5,903.10 
4690503640485024;524936876235072;135239824;$2,074.92 
6389897657035339;974059825445506;135270862;$6,694.78 
9622986661028330;374579859354093;135301623;$4,375.86 
7006340914605371;131173252365899;135401646;$6,133.75 
6300394454445362;254695834075825;135736871;$9,553.42 
2919781061774519;801672575683646;135763364;$6,090.65 
6196984976717590;434676327155835;135812318;$2,651.39 
4545475167417416;761230722862973;13592249;$8,630.40 
5616454766244332;112864832153166;136144854;$5,434.54 
7705496290680109;610037787220156;136177198;$9,494.45 
4394255364750708;137995394383251;136723304;$3,738.56 
9581793089735853;284398628866950;136829408;$288.67 
6300394454445362;674573732454784;136903839;$1,450.51 
2684668570694556;837109970057357;136920638;$2,314.91 
7995230130482817;873243285675927;137068878;$7,379.90 
8444566732945577;488651337161352;137109810;$5,030.18 
1661006435963602;842087612280542;137251476;$7,756.66 
3952052346171830;285146621812359;13738304;$33.41 
6762542555077127;257354917605911;137410347;$9,705.23 
2115861402847893;618461452397226;137547189;$6,243.55 
8880477654112223;597396331589839;137547200;$9,878.87 
8444566732945577;328608388960438;137589774;$8,703.63 
5587355294830119;504873875945241;137960232;$7,550.20 
3096159181239296;943953124648986;13805934;$6,500.52 
2617902740855249;167070534479617;138095729;$7,452.11 
4433882692287070;511978442585934;138199730;$5,184.50 
3101146946971852;145203798150140;138641088;$6,250.29 
3121116817098388;668283759344020;13873852;$6,648.73 
8521466789035073;380638802561469;138788078;$3,301.87 
4539985136781153;426646987690498;1388859;$7,854.26 
8491264240259200;696303273483157;138947751;$304.85 
4323596272548155;841905402684097;138997338;$9,832.69 
3791620046086006;706669430680162;139114519;$828.20 
8444566732945577;328608388960438;139290122;$9,257.67 
4881869363328041;937112339800300;139316725;$1,329.73 
8680708877871183;875465642571679;139450232;$369.48 
3818920185159328;245092264682961;139514560;$9,773.09 
3791620046086006;679706000693306;139588148;$6,837.48 
2970833625170241;715343958906783;139598520;$7,240.16 
7838315310988922;513911264160988;139722334;$9,959.35 
6184565346070119;886894006727250;139871272;$6,489.67 
1906395591595984;657572501234607;140080535;$8,370.97 
2150967205701900;388523253318981;140091445;$6,661.67 
4114641351036798;325956784983088;140249411;$659.14 
9896902159058977;989181274180635;140308700;$4,132.36 
8715892167347994;145458667361180;140338842;$2,778.62 
6990182249931530;162545683033324;140410107;$7,185.67 
6652880000568446;870928219704480;140618480;$1,487.45 
5712312310713306;253092790793099;140656200;$6,568.87 
9174310255934385;197296856384818;140711986;$8,114.86 
1154163006831132;589949639497624;141077005;$8,683.74 
7316538666304326;738356940967775;141292304;$1,450.66 
2466025944609881;346408941949843;1413391;$2,902.89 
9622711018485219;302435109227142;141568706;$9,347.06 
4412101089745532;333941218271606;141623962;$1,389.90 
1306594908382922;680696527215951;141774663;$514.21 
9483085331124211;500558672846142;141783708;$4,638.67 
2288082230772184;936195067737131;141809209;$7,487.78 
1647996022684737;614375201473654;14190578;$286.48 
9659360879547653;105053784921350;142085560;$8,446.64 
4808203841770139;721310284756150;142136388;$3,625.80 
7096897457235602;208974987882597;142300501;$3,025.40 
8945950403241454;788745447619108;142677337;$5,103.41 
3632400175169409;876727819770699;14299038;$6,727.76 
4349112290142813;602560307453338;143036464;$8,689.68 
5189283727648688;361466423357655;143039740;$5,668.48 
8171866788049277;126598613404154;143058292;$2,592.92 
4432897073048710;462208116818303;143271842;$4,763.03 
2835324860856509;105052846688269;143621752;$7,756.63 
6725569880126390;553931677582239;144384757;$7,788.51 
1109630221825137;904796488324105;144703450;$4,117.16 
8433261972292764;628143683460644;144721465;$6,478.23 
5704371335097053;272244495395233;144736046;$4,210.44 
2884404007294770;518110245038358;144812351;$8,565.72 
6083910113984310;358431367342526;144908825;$8,440.91 
7342697037585308;473824248079277;144985044;$4,396.11 
8379497590147362;147129137116798;145055405;$69.70 
5843261896170716;492686196224658;145073739;$86.04 
2825135038372886;670215713110662;145153003;$6,616.27 
2478720661472242;847948977460991;145165343;$9,214.31 
1240665492775736;611757033505941;14517712;$3,393.08 
2464363110532518;619341835681071;145299947;$6,887.60 
8433261972292764;628143683460644;145316058;$7,874.53 
8680708877871183;649003610778267;145386384;$3,220.90 
5802100264078854;716836565085097;145426007;$240.27 
2919781061774519;801672575683646;145509141;$845.35 
1405343753994245;310956911889768;145713833;$2,254.18 
6984513970379770;374976895571664;146067603;$4,020.92 
4666729645007204;508131263426475;14618229;$8,637.13 
7050138534608956;222131623402126;146317075;$3,481.56 
6025725538091983;850271579715127;146444184;$3,603.26 
1907082831865232;872619572618101;146487077;$9,135.35 
1306594908382922;203256332778871;146521512;$7,436.82 
2629966194437917;679178393833640;147124475;$9,216.77 
2684668570694556;448372521302322;147231450;$3,118.74 
2216759190658902;990496413348754;147291400;$4,509.66 
9659360879547653;105053784921350;147715367;$4,682.39 
7704073208565069;336240824354904;147757976;$2,069.62 
6984513970379770;669914978659141;147765712;$1,469.69 
9849987004695600;506782935714172;147921989;$2,639.56 
8211399610943212;127333209515905;148022685;$7,510.95 
4172555326341126;466246797966942;148054685;$8,516.77 
4539985136781153;693743217837282;148123018;$937.58 
1520307095758519;253896096173070;148278817;$9,273.28 
8794770655356905;851451753338284;14873357;$5,515.18 
5234134283459629;146270721537272;14898849;$6,664.54 
5507836784292990;786907397629147;149077473;$8,942.62 
1806846674405112;675325147759685;149222326;$7,312.63 
4693789205924898;494967424107053;14923952;$8,437.44 
1391966235927122;758713999310982;149300781;$9,601.67 
4179279760897781;474050286649074;149594482;$4,837.32 
6822875312151258;414993534125442;149702800;$643.98 
1610948460071417;866502947273115;149755804;$2,748.51 
6429764504518218;590541310994649;149841577;$5,800.24 
7955751100877767;905075825302982;149899828;$7,005.99 
6887786969625811;132197207186356;149958227;$3,947.64 
6973346358722060;482215238293803;150055979;$6,704.75 
3149678516689484;392225686522073;15013337;$6,388.53 
6386077006070997;422714917079604;15025285;$7,196.96 
1109630221825137;422545307831314;150293293;$459.42 
9450158319144177;342252663915158;150335356;$3,603.08 
2919781061774519;405534773157173;150421982;$2,637.08 
9333797064955593;454636455725415;150567369;$672.59 
3631451029324519;619568628761005;150598689;$2,662.78 
8491264240259200;473904247039733;150685094;$1,955.07 
3791620046086006;679706000693306;15085086;$2,083.84 
8250572443215881;390364629230465;150995037;$9,416.08 
8861745121013692;760350176604718;151491917;$7,364.17 
2085857293057325;360105858221280;15161529;$8,286.66 
9029740083055648;293685964782112;151739103;$7,052.50 
6300394454445362;720982943456687;151769886;$4,174.14 
2244272061830317;455983122738470;151894033;$3,451.97 
1391966235927122;758713999310982;151973940;$342.44 
4751264658779305;994854494048927;152309833;$8,258.45 
5452361229580631;644283481669811;15236680;$6,592.71 
9622245278773899;258457497175558;152457401;$1,396.32 
7599475990364619;866183590456291;152545227;$3,310.95 
8480955160703340;715212776759704;15254700;$1,227.55 
4076145806443696;136189269905419;153040135;$9,708.55 
8162686378717823;570870014288583;153229544;$2,088.64 
4881869363328041;804388797799657;153340398;$665.61 
6762542555077127;716363163443807;153485980;$7,347.96 
8861844585488589;107990115579681;153693414;$4,714.25 
2115861402847893;160528606623344;153768663;$3,752.10 
2808464337665175;223327276031036;15392144;$625.59 
5010054454975494;305754518988026;153992413;$8,439.23 
8433261972292764;628143683460644;154005875;$3,042.58 
7149461108984238;512135517877922;154176614;$5,462.82 
5961978505421596;518314204690526;154220827;$3,900.71 
4114641351036798;865170307419944;15423309;$7,429.15 
4539985136781153;426646987690498;15485108;$621.12 
3183584536234474;696059693417643;1548916;$2,540.95 
8162686378717823;219457795218262;154928137;$6,020.27 
9146165889109472;577939752955528;155041767;$2,363.55 
2648568932855975;190022986120320;155437138;$1,058.61 
4114641351036798;865170307419944;155618251;$2,473.53 
2617902740855249;243498831189362;155710573;$7,686.61 
8250572443215881;390364629230465;155765593;$6,024.51 
3038283672486645;543516212286937;155991009;$9,545.91 
4759355587435639;265890136235104;156002919;$4,973.67 
3485712884596740;379111528307316;156276898;$505.36 
9109362382376279;393377967186220;156517200;$4,215.62 
6025725538091983;850271579715127;156533089;$5,053.63 
4394255364750708;642860664763726;156655210;$8,811.68 
6798218719475816;250195251688729;156746891;$2,338.50 
1081419703223728;540524495407828;157279862;$3,660.07 
1081419703223728;999396268883825;157293181;$502.42 
3795519912322394;501405330794519;157353864;$597.96 
7664276900288066;756839677229264;157363233;$3,861.63 
9308508435534137;374381885378610;157568974;$5,872.79 
1005075865111029;113882573622927;157586039;$3,637.49 
3952052346171830;960172485702910;157662524;$102.59 
2823611408737694;763021302452594;157672102;$7,273.45 
7777134284413921;410442113590876;157875079;$5,593.79 
7949567480171095;518877076235771;158469541;$9,752.22 
2115879905044891;222427903167927;159120853;$902.72 
3121116817098388;668283759344020;159183571;$2,293.61 
9146165889109472;577939752955528;159398919;$9,343.83 
4323596272548155;261932208620006;159462344;$7,990.28 
2629966194437917;866350167639915;159869790;$6,657.81 
1306594908382922;680696527215951;160069538;$3,488.08 
1752399099241773;120701751728470;160209564;$7,869.11 
7848934377092960;428756996606577;160282745;$2,755.30 
8211399610943212;252478469166330;160504050;$6,355.36 
1752918535098560;474107178623838;160546994;$7,796.44 
6124522942760695;300659476223176;160878339;$6,179.27 
9308508435534137;374381885378610;16090577;$2,419.35 
5452361229580631;644283481669811;160933615;$6,985.79 
4517866361200547;145561076400818;161062963;$1,531.78 
8460717119509507;811705470389091;161300253;$9,358.79 
1081419703223728;540524495407828;161307380;$2,184.52 
4996410148310384;710667039119982;161977418;$3,081.69 
9029740083055648;293685964782112;162175764;$2,562.28 
9879595283953831;911486380993583;162256284;$8,052.50 
4576918963024698;839708264375098;162674631;$3,527.24 
5211124723121290;808872962713785;162740753;$6,680.76 
5712312310713306;281486862810544;162801916;$6,519.45 
8480955160703340;715212776759704;163220132;$7,604.10 
1036926306787749;683172732362604;16328136;$6,551.34 
2408440542129243;103493138378406;163302987;$1,834.48 
2150967205701900;388523253318981;163583162;$9,233.60 
9101590339767533;225173150999020;163683364;$5,209.37 
7401837614886244;317126125200933;16389300;$9,764.42 
2808464337665175;179493640837156;163999062;$7,028.92 
4805037402525539;696494491952545;164077619;$672.72 
8524055590689355;483356405185627;164191449;$8,717.15 
3758576657034373;158125346992210;164276541;$8,636.66 
3685852499849171;641011976574984;164442630;$5,415.78 
5802100264078854;716836565085097;164468571;$3,090.73 
9986657323823935;667390034913517;164652592;$9,581.97 
9439984534002650;220334303410625;164748811;$6,209.09 
3994194520347909;359388428755649;164881623;$7,569.88 
4179938116476893;661451068025118;165117984;$5,121.31 
3315476452598522;814674842368458;165165682;$5,261.45 
7955751100877767;702029434613341;165967792;$7,575.99 
8861844585488589;107990115579681;166040203;$6,830.46 
1621008528729212;660694735552933;166049071;$1,132.60 
7584611647148024;875352563650693;16617158;$5,664.06 
6175473331408223;620644279818588;16664101;$3,976.20 
8679748798439507;279791896684836;166697691;$5,948.76 
4780536089083596;540498474956778;166989517;$8,332.45 
6407229365713619;198255026713685;167236305;$8,175.22 
3038283672486645;898200207299688;167250432;$9,361.62 
6025725538091983;850271579715127;167271571;$9,329.97 
5507836784292990;786907397629147;167380526;$1,616.88 
1752918535098560;474107178623838;167560636;$343.00 
6973346358722060;140576751564915;167561442;$3,087.28 
2838780908309800;882631297640714;167935787;$186.97 
4313568657321476;961783081110790;168017354;$5,421.37 
3795519912322394;609794179139394;168063833;$185.56 
9060568802830490;273935194122523;168108801;$5,966.04 
2853298348936397;910708762619352;168129;$3,065.92 
7022388272890424;590396743140733;168262933;$3,947.29 
1907082831865232;695013356565313;168444194;$5,682.38 
2474048813053049;766155457672476;16860205;$7,686.96 
9530055567265932;844287147490718;168619008;$5,020.71 
1859455234201908;563872159287550;168689092;$3,074.48 
6973346358722060;482215238293803;16876313;$8,331.90 
2884404007294770;279851217784848;168871414;$951.11 
9986657323823935;297552501209452;169003928;$3,258.01 
5935837971940187;628177545291308;169200355;$1,567.08 
4926999848118647;266697939532501;170043594;$8,000.91 
8438266062800900;842505933666673;170211430;$4,844.80 
4076145806443696;136189269905419;170236023;$6,432.53 
2464707973740024;385335538626297;170285162;$8,470.54 
9737833063262228;794205383834066;170306164;$567.69 
7379030898414358;226022928356027;170364030;$4,777.94 
2492711088310018;250716878030878;170561543;$4,480.89 
2533833879448624;868586047436602;170562121;$8,440.45 
9519623991737514;683821252807738;170631213;$8,767.18 
5528156256167744;743910627437712;170710761;$7,118.86 
4349112290142813;602560307453338;171128678;$1,633.54 
7401837614886244;317126125200933;171193483;$3,508.31 
1621008528729212;843570832773488;171281721;$4,812.02 
7620294767071650;266822933692352;171572312;$8,424.88 
4743369362503932;339866211051891;171627595;$5,858.63 
3791620046086006;706669430680162;171744622;$286.60 
9000438894450800;943379878177510;171893774;$425.86 
6124522942760695;300659476223176;171914754;$6,935.62 
8017849589846693;488495501989394;171978907;$5,855.81 
8042447180145778;529805916350747;172047687;$9,833.57 
9010590979884754;361717927925039;172169360;$2,706.25 
5528156256167744;743910627437712;172217554;$5,903.71 
2783326144544787;354339003323050;1725344;$4,379.26 
2736617547073962;285711732511288;172549637;$3,945.44 
6798218719475816;832784796423169;172592035;$6,292.99 
8361819412955773;173112664870290;172619446;$8,514.15 
8678909692558625;462242063625588;172798596;$3,083.53 
6882248350455972;613782424448625;172909738;$1,561.56 
1154163006831132;934422989379511;172934748;$9,346.60 
6529724002852419;704478486723634;173019401;$6,190.36 
9153072620985931;519416441451754;173332371;$987.96 
1907082831865232;826505281100591;173578475;$2,239.82 
3153711037857232;269743494013116;173726314;$9,626.13 
7848934377092960;366148295941060;173890693;$8,793.70 
7270012938747336;806909321519576;173899648;$6,007.59 
1628990553557639;599861539725336;173907552;$917.16 
7599585676459465;434395706250573;174143668;$3,403.40 
4349112290142813;602560307453338;174239682;$4,620.05 
2080765844726360;665525890741279;174278636;$8,421.88 
8911625329791002;863785995853683;174496527;$4,189.61 
1128097559272943;224745901407956;174515471;$2,828.19 
9517030003662098;484584445954480;174581745;$9,168.52 
9000438894450800;637497528368444;174612724;$3,789.16 
6042552045463664;429776801411954;17470143;$4,235.15 
6196984976717590;434676327155835;175190671;$277.43 
4716321136807092;142923458359238;17526771;$8,646.46 
3845158640724645;754126306108276;175284539;$334.10 
7848934377092960;366148295941060;1753809;$9,140.47 
9521544803057782;853577032336614;175596078;$5,728.16 
6194007803679593;315778750383860;175659677;$1,747.24 
7987571357602805;630719430243425;175665335;$4,434.37 
3121116817098388;668283759344020;175845923;$822.98 
8570509135825786;359074804577546;17599023;$2,106.17 
4323596272548155;261932208620006;176085040;$5,506.53 
1435989544716620;154010271241014;176251250;$1,469.07 
8460315837613642;729026412559306;176471267;$5,993.11 
6044865522728252;267223904979974;176706159;$7,155.89 
3244588771316232;477839874488759;176975317;$6,522.01 
1520307095758519;253896096173070;177199793;$3,179.52 
9146165889109472;577939752955528;177206137;$5,805.35 
7625127785346362;416059521257908;177230731;$6,591.90 
